Potential (V)	Current (A)	
-0.412519901990891	-0.000610345567110926	
-0.413440018892288	-0.000673281727358699	
-0.414360135793686	-0.000652241695206612	
-0.4146668612957	-0.000642181723378599	
-0.41589367389679	-0.000652977789286524	
-0.416507095098495	-0.000628870679065585	
-0.416813790798187	-0.000613351294305176	
-0.417427211999893	-0.000637458404526114	
-0.418040633201599	-0.000717938179150224	
-0.418960750102997	-0.000713153567630798	
-0.41957414150238	-0.000687083520460874	
-0.420187562704086	-0.000674569921102375	
-0.420800983905792	-0.000659541285131127	
-0.42172110080719	-0.000648867920972407	
-0.422334522008896	-0.000650524103548378	
-0.423254638910294	-0.000750449020415545	
-0.423868030309677	-0.000744928314816207	
-0.424481451511383	-0.000726341910194606	
-0.425094872713089	-0.000728795595932752	
-0.426014989614487	-0.00070321629755199	
-0.426628410816193	-0.000681133416946977	
-0.427241802215576	-0.000692420231644064	
-0.427855223417282	-0.000689598498865962	
-0.428468644618988	-0.000677698291838169	
-0.429388761520386	-0.000765600358135998	
-0.430002182722092	-0.000786395044997334	
-0.430615574121475	-0.000766152399592102	
-0.430922299623489	-0.000761122442781925	
-0.432149112224579	-0.00073664728552103	
-0.433069229125977	-0.000719103671144694	
-0.433069229125977	-0.00081320118624717	
-0.433989346027374	-0.000787008437328041	
-0.435216188430786	-0.00078118103556335	
-0.435216188430786	-0.000766643148381263	
-0.436443001031876	-0.000733825552742928	
-0.437056422233582	-0.000822893111035228	
-0.437363117933273	-0.000802343769464642	
-0.438589960336685	-0.000781365029979497	
-0.439203351736069	-0.000759772898163646	
-0.439816772937775	-0.000850496639031917	
-0.440430194139481	-0.000856262748129666	
-0.441350311040878	-0.000826082832645625	
-0.441963702440262	-0.000831603538244963	
-0.442577123641968	-0.000804981449618936	
-0.443190544843674	-0.000791486352682114	
-0.444110661745071	-0.000898465514183044	
-0.444417357444763	-0.000878100225236267	
-0.445337474346161	-0.000845528033096343	
-0.445950895547867	-0.000833382422570139	
-0.447177737951279	-0.000839761923998594	
-0.447791129350662	-0.000904354266822338	
-0.448097854852676	-0.000895643839612603	
